2.1978;-1.0076;1.3454;0.3244
-1.2708;1.4513;0.24;0.8528
-0.0721;-0.9935;-0.7398;0.1889
-0.8427;1.3038;-0.8217;0.4022
0.4249;0.0459;1.1719;0.3521
1.8094;-0.8581;1.3363;0.273
1.4578;-0.9244;0.3536;0.5067
-1.347;0.2372;-0.6937;-0.2997
-0.0582;1.0926;0.4102;0.4174
2.2641;-1.1652;1.545;0.0924
0.2941;0.2832;0.2413;0.622
-1.2532;0.6341;-0.976;-0.0073
1.4807;0.7459;1.4202;0.2213
2.11;-0.4321;1.2152;0.4902
0.2622;-0.947;-0.7822;0.0668
3.3781;-1.6906;1.4226;-0.2175
1.3614;-0.9677;0.266;0.3175
0.3961;-0.7918;1.1541;0.4152
0.7618;-0.1167;-0.6783;0.022
0.1505;1.9868;1.2834;0.3919
-1.6177;1.6201;-0.6993;-0.1775
1.4471;-1.2205;1.346;0.1448
0.1705;0.7982;1.2557;-0.0568
-1.1405;-0.5736;-0.623;0.5044
-0.6637;0.7303;0.2736;0.1179
1.0786;-1.0722;0.3397;0.0181
0.0819;2.2381;1.4311;0.7936
-0.6545;1.0954;-0.648;0.2389
1.0661;-0.1064;0.261;0.089
0.6065;1.1241;0.4373;0.2876
