1;0.32;0.81
1;0.94;1.74
1;-0.8;-0.64
1;0;1.02
1;-1.4;-0.9
1;-0.72;-0.05
1;-0.65;0.94
1;0.7;1.38
1;-0.78;-1.38
1;-1.04;0.82
1;1.61;0.5
1;0.01;-0.47
1;-0.42;2.59
1;0.3;-0.27
1;0.4;-1.89
1;-1.04;1.07
1;0.04;0.81
1;-2.07;-2.07
1;-0.51;-0.22
1;0.01;0.83
1;-1.55;0.05
1;0.87;0.96
1;0.26;-0.42
1;0.03;-0.57
1;0.67;-0.79
1;-0.26;-2.16
1;0.3;0.25
1;0.3;0.39
1;1.3;0.46
1;1.1;-0.72
1;-0.79;-0.41
1;-0.3;-0.17
1;-0.31;-0.76
1;1.31;1.19
1;0.22;0.22
1;-0.47;1.12
1;0.04;0.45
1;0.48;-0.24
1;0.84;1.78
1;-0.89;-2.15
1;0.75;-0.74
1;0.45;1.03
1;0.42;0.45
1;1.15;-1.56
1;-0.9;0.61
1;0.87;1.18
1;0.51;0.51
1;0.33;0.99
1;1.74;0.32
1;-0.01;1.59
1;-0.33;0.69
1;0.15;0.31
1;-0.38;0.35
1;0.79;0.61
1;-0.17;0.19
1;0.26;0.8
1;0.24;-0.96
1;0.89;-0.7
1;-0.02;0.57
1;-0.94;-0.66
1;-0.26;0.18
1;-0.88;0.79
1;-0.5;0.31
1;0.68;-0.17
1;1.41;1.96
1;0.95;-0.11
1;-0.23;0.88
1;-0.65;0.46
1;0.88;1.08
1;1.54;-0.88
1;-1.01;-1.85
1;1.21;1.06
1;-0.49;-0.96
1;-2.46;-0.84
1;0.83;-0.3
1;-0.1;-1.15
1;1.24;-0.06
1;0.03;-0.74
1;0.72;-1
1;-1.49;-0.71
1;0.39;-1.42
1;0.51;0.57
1;-0.64;-1.95
1;-0.17;0.74
1;0.09;-0.28
1;-0.95;-1.16
1;-1.24;-0.62
1;0.09;-0.67
1;0.55;1.01
1;-0.16;-0.51
1;0.25;0.31
1;0.18;-1.59
1;0.51;-0.49
1;0.04;0.17
1;1.39;1.15
1;-0.3;-1.23
1;1.59;0.87
1;0.79;0.48
1;0.46;1.3
1;0.09;-2.63
