1.8228;-0.9326;1.0454;0.0994
-1.0728;0.9533;-0.06;0.0548
-0.5071;-0.8585;-1.0398;0.0239
-0.9777;1.1388;-1.1217;-0.0628
0.0409;0.1299;0.8719;0.1361
1.5424;-0.8911;1.0363;-0.06
1.1458;-0.9124;0.0536;0.2187
-2.4;0.9902;-0.9937;0.1533
-0.2172;0.9516;0.1102;-0.0236
1.8591;-1.0602;1.245;-0.1026
0.3871;-0.1098;-0.0587;-0.071
-1.8862;0.9671;-1.276;0.0257
1.1267;0.7999;1.1202;-0.0247
2.035;-0.6571;0.9152;-0.0348
-0.1758;-0.809;-1.0822;-0.0952
2.5651;-1.1776;1.1226;-0.0045
1.1574;-1.0637;-0.034;-0.0785
0.3781;-1.0738;0.8541;-0.1668
0.2218;0.1233;-0.9783;-0.038
-0.1495;1.9868;0.9834;0.0919
-2.3377;2.0401;-0.9993;-0.0575
0.9311;-1.0045;1.046;0.0608
-0.3245;0.9932;0.9557;-0.1618
-1.2305;-0.7836;-0.923;-0.0056
-1.1977;0.9643;-0.0264;0.0519
0.4666;-0.7602;0.0397;0.0301
0.2649;1.7551;1.1311;0.0106
-0.9515;1.0924;-0.948;-0.0641
0.6401;0.0196;-0.039;-0.085
0.3965;1.0341;0.1373;-0.1024
