-6.5;-3.8
6.5;-3.9
3.6;0.4
3.2;0.9
4.4;9.9
2.6;-4.5
4.4;-6.4
6.4;-9
-4.3;3.6
0.5;6.3
9.4;-9.1
-8.8;9.8
-3.4;-4.3
7.6;-2.4
-2.7;-0.299999999999999
-4.5;-1.9
0.600000000000001;7.3
2;2.8
-1;7.7
1.5;0.4
-6.7;8.2
7.1;-1.9
6.2;-0.799999999999999
0.800000000000001;8.8
7.8;9.6
-4.6;-8.8
-7.8;7.4
-0.6;7.4
5.3;-2.2
8.2;8.6
3.4;-3.9
4.2;6
-5.5;1.8
3.9;8.9
-1.1;2.1
2.3;9.6
-0.199999999999999;-8.7
-9.6;9.4
0.600000000000001;-7
-3.3;3.5
2;1
-9;7.3
-5.2;-1.5
-3.4;-4.1
-2.7;-3.9
-8.6;-3.5
-9.4;-10
-5.9;1.2
-1.1;-1.5
-4.6;-6.3
3.1;-1.3
3.1;-4.5
0.800000000000001;0.5
-6.9;4.2
-4.4;3.7
9.2;-1.9
7.5;2.2
10;-0.699999999999999
-1.5;2.2
-4.6;-2
4.4;-9.7
-9.8;6.7
-8.3;2.1
9.6;-6.7
3.4;-0.0999999999999996
-0.6;9.4
4.7;0.9
3.9;-3.8
-0.299999999999999;-3.4
-3.3;-4.2
6.2;-5.6
3.3;8.4
1.9;-0.6
-7.8;10
1;3.9
-3.3;5.8
8.6;-6.1
-7.1;3.5
7.7;-7.7
-7;9
-0.199999999999999;3.6
5.2;5.9
7.5;-8.6
-7.6;6.9
5.5;-3.5
-2.5;-8.1
-0.9;5.8
-0.0999999999999996;9.6
-9.3;5.3
-2.3;5
4.5;-4.2
4.7;-0.5
-1.6;4.7
-8;5.5
-5.4;-8.5
-9;-7
-5;2.4
-3;-3.5
7.1;-1.8
5.1;-2.9
